price,living_area,number_of_rooms,new_production,monthly_fee,build_year,elevator,city_area
0.585,91,3.0,0.0,5219.0,,0.0,1
1.3699999999999999,72,3.0,0.0,2698.0,1960.0,0.0,0
5.359999999999999,60,2.0,0.0,2399.0,1911.0,0.0,1
3.25,98,4.0,0.0,4755.0,2004.0,1.0,0
3.385,34,1.0,1.0,2336.0,1876.0,1.0,1
2.85,78,3.0,0.0,4652.0,1968.0,1.0,1
4.95,60,2.0,0.0,1679.0,1898.0,0.0,1
2.5,48,2.0,0.0,3208.0,2011.0,1.0,1
1.25,48,2.0,0.0,3941.0,1971.0,0.0,1
1.45,59,2.0,0.0,3598.0,1977.0,1.0,1
0.95,108,4.0,0.0,6874.0,1990.0,,1
1.82,77,3.0,0.0,4672.0,1987.0,1.0,0
0.39,75,3.0,0.0,4914.0,1972.0,0.0,1
1.585,99,4.0,0.0,6152.0,1986.0,0.0,1
0.52,47,1.0,0.0,3496.0,1940.0,1.0,0
2.3,29,1.0,0.0,1836.0,1955.0,1.0,1
1.85,70,2.0,0.0,3442.0,1971.0,0.0,0
1.52,42,2.0,0.0,2298.0,1943.0,0.0,0
1.2,55,2.0,1.0,2689.0,2015.0,,0
1.633,47,2.0,1.0,2763.0,2015.0,,1
2.35,72,3.0,0.0,3475.0,1952.0,0.0,1
1.27,32,1.0,0.0,2547.0,1958.0,0.0,0
3.27,53,2.0,0.0,3304.0,2011.0,1.0,1
1.75,34,1.0,0.0,2029.0,1957.0,1.0,1
1.49,73,3.0,0.0,3295.0,1960.0,0.0,0
8.63,126,4.0,0.0,6013.0,2004.0,1.0,1
1.245,46,1.0,0.0,2797.0,1955.0,0.0,0
2.07,40,2.0,0.0,2113.0,1961.0,1.0,1
0.3,104,5.0,0.0,3766.0,1985.0,0.0,0
1.83,40,1.0,0.0,2840.0,1972.0,1.0,1
0.75,59,2.0,0.0,2784.0,1947.0,0.0,1
1.59,58,2.0,0.0,4921.0,1993.0,1.0,1
4.3,100,4.0,0.0,5027.0,2012.0,1.0,1
2.45,38,1.0,0.0,2191.0,1932.0,0.0,1
3.1,55,2.0,0.0,3575.0,2015.0,1.0,1
1.285,50,2.0,0.0,3285.0,2012.0,,1
1.51,45,2.0,1.0,2770.0,,1.0,1
1.855,41,1.0,0.0,2453.0,1965.0,1.0,1
3.475,90,4.0,1.0,5214.0,2015.0,1.0,1
0.77,78,3.0,0.0,3809.0,1973.0,0.0,0
1.55,59,2.0,0.0,2809.0,1963.0,0.0,1
3.35,38,2.0,0.0,864.0,1942.0,1.0,1
2.53,77,4.0,0.0,4654.0,1961.0,1.0,1
1.25,59,2.0,0.0,3331.0,1975.0,1.0,1
5.8,63,2.0,0.0,2974.0,1913.0,0.0,1
1.66,62,2.0,1.0,3381.0,,1.0,0
0.8300000000000001,52,2.0,0.0,3114.0,1954.0,0.0,1
0.815,56,2.0,0.0,3032.0,1934.0,0.0,1
4.9,77,3.0,0.0,3340.0,1981.0,1.0,1
1.025,38,1.0,0.0,2198.0,1967.0,1.0,1
3.05,62,2.0,0.0,3298.0,1989.0,1.0,1
2.31,115,5.0,0.0,4731.0,1970.0,0.0,1
3.15,66,2.0,0.0,4206.0,2004.0,1.0,1
1.34,93,4.0,0.0,7064.0,1992.0,1.0,0
3.1199999999999997,72,3.0,0.0,3517.0,,,1
4.8,107,4.0,0.0,5578.0,1968.0,1.0,1
1.105,82,3.0,0.0,3915.0,1970.0,0.0,0
1.56,61,2.0,0.0,3678.0,1950.0,0.0,1
0.475,36,1.0,0.0,1996.0,1931.0,0.0,1
4.029999999999999,76,3.0,0.0,3774.0,1999.0,1.0,1
1.1,72,3.0,0.0,5147.0,1989.0,0.0,1
3.5,67,2.0,0.0,4187.0,2009.0,1.0,1
2.6,72,3.0,0.0,4403.0,1934.0,0.0,1
1.5,47,2.0,0.0,3164.0,1973.0,1.0,1
1.66,59,2.0,0.0,2736.0,1966.0,1.0,0
1.35,79,3.0,0.0,5428.0,2007.0,1.0,1
0.48,54,2.0,0.0,3602.0,1946.0,1.0,1
0.6499999999999999,71,2.0,0.0,4224.0,1989.0,1.0,1
0.91,45,2.0,0.0,3549.0,1998.0,,0
5.45,81,3.0,0.0,4726.0,2007.0,1.0,1
9.530000000000001,112,4.0,0.0,1565.0,1923.0,1.0,1
1.71,96,4.0,0.0,5830.0,1989.0,1.0,1
3.4,34,2.0,0.0,1682.0,1939.0,1.0,1
6.08,107,6.0,0.0,4277.0,2015.0,0.0,0
1.48,53,3.0,0.0,2657.0,2004.0,0.0,0
2.8,39,2.0,0.0,2340.0,1945.0,1.0,1
1.86,75,3.0,0.0,4279.0,1965.0,1.0,1
5.05,83,3.0,0.0,4180.0,1971.0,1.0,1
