municip_code,municip_name,county_code,year,pop,share0_19,share75_,share_elementary_school,share_secondary_school,share_tertiary_school,tax_rate,tax_rate_4_years_back,tax_base,expenditures,real_tax_base,real_expenditures,share_votes_left_last_election,share_seats_left_last_election,nr_seats_council,coalition_last_term,left_coalition_last_term
114,Upplands Väsby,1,2002,37524,0.257088796503571,0.046690118324272466,0.24399795051968964,0.49838969404186795,0.2576123554384424,19.58,19.5,153912,37238.0,227732.97318957883,55098.50080327418,0.4853781184396817,0.49019607843137253,51.0,V,1
114,Upplands Väsby,1,2006,37624,0.25613969806506487,0.05142993833723156,0.23519138407800902,0.49239557560762626,0.2724130403143647,19.58,19.58,168111,41401.0,238781.4204381531,58805.13224928753,0.4998817351814182,0.5098039215686274,51.0,V,1
114,Upplands Väsby,1,2010,38641,0.25454827773608346,0.05564038197769209,0.22950993564811542,0.4853970723428329,0.2850929920090517,19.18,19.58,189191,49454.0,251687.67849228205,65790.45753845223,0.42888806797192464,0.43137254901960786,51.0,A,0
114,Upplands Väsby,1,2014,41449,0.24480687109459817,0.06169026997032498,0.20417679778836226,0.4815641341638077,0.31425906804783,19.18,19.18,201024,53651.0,258871.8834421876,69089.93661730344,0.440817024185967,0.43137254901960786,51.0,A,0
114,Upplands Väsby,1,2018,44605,0.24752830400179351,0.07059746665172066,0.18706984450675504,0.46839153708896253,0.34453861840428246,19.52,19.18,223833,62699.0,275159.171637303,77076.23497199814,0.4791193916955293,0.49019607843137253,51.0,V,1
114,Upplands Väsby,1,2022,47820,0.2519866164784609,0.08182768716018403,0.17733256315933482,0.4448058857507676,0.37786155108989755,19.42,19.52,243166,69585.0,263953.34921822837,75533.56063491778,0.37997601019566685,0.37254901960784315,51.0,B,0
115,Vallentuna,1,2002,25643,0.29813204383262487,0.047420348633155245,0.22928969124346213,0.4879928013047635,0.2827175074517744,17.68,17.6,146089,35408.0,216157.81953513942,52390.77599340277,0.34736540664375715,0.34146341463414637,41.0,B,0
115,Vallentuna,1,2006,27397,0.29828083366791985,0.048581961528634525,0.21329784458013673,0.47716716246542457,0.3095349929544387,19.18,17.68,165858,40825.0,235581.30539364586,57986.99364936024,0.36536021900247045,0.36585365853658536,41.0,B,0
115,Vallentuna,1,2010,29361,0.2973672558836552,0.05132658969381152,0.19823384645080344,0.4730010133667905,0.32876514018240605,18.98,19.18,195237,48553.0,259730.89251495936,64591.824419955345,0.30287996127783157,0.2926829268292683,41.0,A,0
115,Vallentuna,1,2014,31616,0.2869116902834008,0.05677505060728745,0.17165731861769495,0.46996562330378144,0.3583770580785236,18.98,18.98,214261,53582.0,275918.0427123456,69001.08075950781,0.30027758123333154,0.3170731707317073,41.0,A,0
115,Vallentuna,1,2018,33175,0.2815975885455916,0.06869630746043708,0.15460133551496927,0.4539866448503073,0.3914120196347234,19.0,18.98,244366,61049.0,300400.5045561699,75047.88064890212,0.3576402705929168,0.36585365853658536,41.0,A,0
115,Vallentuna,1,2022,34246,0.2766454476435204,0.08246218536471413,0.15178417514221687,0.42897776245474917,0.41923806240303396,18.9,19.0,275100,63094.0,298617.2670929925,68487.66939282177,0.2797163120567376,0.29411764705882354,51.0,B,0
117,Österåker,1,2002,35108,0.28378147430785006,0.0428107553833884,0.21449263700008048,0.4927174700249457,0.2927898929749738,19.53,18.75,151976,34464.0,224868.40748908097,50994.00428820134,0.39837734484005993,0.39215686274509803,51.0,B,0
117,Österåker,1,2006,37336,0.29014891793443326,0.04655024641097064,0.2037484885126965,0.48416717049576785,0.31208434099153565,19.53,19.53,170983,39381.0,242860.75040167943,55935.96563148698,0.42261961837184775,0.43137254901960786,51.0,B,0
117,Österåker,1,2010,39173,0.284787991728997,0.05371046383988972,0.19363071061428416,0.4791704108407318,0.32719887854498403,19.23,19.53,199854,44884.0,265873.0557869906,59710.82007837365,0.3286796441469215,0.35294117647058826,51.0,A,0
117,Österåker,1,2014,40495,0.26986047660204965,0.061760711198913444,0.17098137861160606,0.4796841700730182,0.34933445131537577,18.65,19.23,221451,50116.0,285177.0806478624,64537.6836128456,0.308913955287698,0.29411764705882354,51.0,A,0
117,Österåker,1,2018,44130,0.2671425334239746,0.0728982551552232,0.15736090921104798,0.4653759746266684,0.3772631161622836,17.35,18.65,244217,56400.0,300217.3380142661,69332.83868037282,0.33898239950810855,0.35294117647058826,51.0,A,0
117,Österåker,1,2022,48234,0.26464734419703945,0.09304639880582162,0.151189232376621,0.43973941368078173,0.40907135394259725,16.9,17.35,268255,58694.0,291187.1137187594,63711.52989733225,0.2716701527989506,0.27450980392156865,51.0,B,0
120,Värmdö,1,2002,32096,0.2898492023928215,0.04287138584247258,0.237038693804518,0.4870051442630284,0.2759561619324536,20.08,19.0,147568,38391.0,218346.19384869124,56804.51539659754,0.4382385795755188,0.43902439024390244,41.0,B,0
120,Värmdö,1,2006,34933,0.3017776887184038,0.04371224916268285,0.22470158743180607,0.47405553960375735,0.3012428729644366,20.28,20.08,164701,46624.0,233937.92629622246,66223.77444966986,0.4802095145526216,0.47058823529411764,51.0,BL,0
120,Värmdö,1,2010,37756,0.297118338807077,0.046138362114630786,0.21018198225297038,0.4722890660249662,0.31752895172206347,20.28,20.28,196456,55515.0,261352.57261645515,73853.6266074974,0.3982756156814176,0.43137254901960786,51.0,A,0
120,Värmdö,1,2014,39784,0.28295294590790265,0.051980695757088274,0.1824711111111111,0.47445333333333334,0.3430755555555556,19.91,20.28,217570,60000.0,280179.2605883713,77265.96330055743,0.3964052427101567,0.4117647058823529,51.0,A,0
120,Värmdö,1,2018,43444,0.27281097504833807,0.06076788509345364,0.16511979989468142,0.46172327540810953,0.37315692469720907,19.18,19.91,240798,66892.0,296014.3419956811,82230.71356396274,0.41334325785473636,0.4117647058823529,51.0,A,0
120,Värmdö,1,2022,46232,0.26412441598892544,0.08221578127703755,0.15316217908578586,0.44001252348152786,0.4068252974326863,18.98,19.18,273048,70940.0,296389.84931009606,77004.39450227877,0.37998804626797456,0.37254901960784315,51.0,B,0
123,Järfälla,1,2002,61132,0.2528462998102467,0.05455407969639469,0.21976192083530233,0.4752132136186683,0.30502486554602937,18.63,19.05,158542,35271.0,234583.66492165788,52188.06654042332,0.4903738212842389,0.4918032786885246,61.0,B,0
123,Järfälla,1,2006,61743,0.2541826603825535,0.06288972029217887,0.20935977184433316,0.4627562821405313,0.32788394601513554,19.13,18.63,175820,41745.0,249731.12610974937,59293.74280202189,0.5032408399400042,0.5245901639344263,61.0,V,1
123,Järfälla,1,2010,65295,0.25790642468795466,0.06786124511830921,0.20288862736706964,0.4520380870867658,0.34507328554616457,18.63,19.13,193921,49668.0,257980.16978028463,66075.14953330056,0.4505102310580024,0.4426229508196721,61.0,A,0
123,Järfälla,1,2014,69167,0.25279396243873525,0.07354663351019995,0.18793156438889458,0.4420448724515931,0.37002356315951235,18.98,18.63,204670,54006.0,263567.0784787515,69547.09356683174,0.4245203509989589,0.4262295081967213,61.0,A,0
123,Järfälla,1,2018,76453,0.25427386760493376,0.07615136096686853,0.17713389872126628,0.4230398730710387,0.3998262282076951,19.15,18.98,223443,61783.0,274679.7424336621,75950.19099626727,0.4669045619927232,0.4918032786885246,61.0,BL,0
123,Järfälla,1,2022,83170,0.2528796441024408,0.08319105446675484,0.171745103873147,0.40434394525438855,0.42391095087246444,18.99,19.15,243938,69498.0,264791.34460243693,75439.12333125697,0.41987890158621866,0.4262295081967213,61.0,B,0
125,Ekerö,1,2002,22626,0.30394236718819057,0.047909484663661274,0.2172373841400618,0.44657569515962925,0.336186920700309,18.33,18.25,163651,36843.0,242143.09992364314,54514.04654103418,0.3495229156890349,0.36585365853658536,41.0,B,0
125,Ekerö,1,2006,24010,0.3107038733860891,0.048771345272802996,0.21001926782273603,0.43027456647398843,0.3597061657032755,19.23,18.33,181109,43147.0,257243.51335804004,61285.11488031712,0.34597534445250183,0.36585365853658536,41.0,B,0
125,Ekerö,1,2010,25095,0.3058776648734808,0.05136481370790994,0.19990882151812173,0.42073170731707316,0.3793594711648051,19.23,19.23,210448,50674.0,279966.6398684069,67413.46797637256,0.24790787976166567,0.2682926829268293,41.0,A,0
125,Ekerö,1,2014,26355,0.2893568582811611,0.059457408461392525,0.16995155252147104,0.4274939440651839,0.4025545034133451,19.23,19.23,235397,55061.0,303136.2660510219,70905.68675486655,0.24266534062655395,0.24390243902439024,41.0,A,0
125,Ekerö,1,2018,27753,0.2945987821136454,0.07062299571217526,0.16063910180287164,0.41125985102018786,0.42810104717694053,19.25,19.23,269149,65215.0,330866.38648907206,80169.16798830697,0.29013573601685,0.2926829268292683,41.0,A,0
125,Ekerö,1,2022,29096,0.29337365960956835,0.08973742095133351,0.1587764406510099,0.3851985368181095,0.45602502253088056,18.95,19.25,306918,73997.0,333155.2685628756,80322.725965395,0.24709756642107614,0.24390243902439024,41.0,B,0
