municip_code,municip_name,county_code,year,pop,share0_19,share75_,share_elementary_school,share_secondary_school,share_tertiary_school,tax_rate,tax_rate_4_years_back,tax_base,expenditures,real_tax_base,real_expenditures,share_votes_left_last_election,share_seats_left_last_election,nr_seats_council,coalition_last_term,left_coalition_last_term
114,Upplands Väsby,1,2022,47820,0.2519866164784609,0.08182768716018403,0.17733256315933482,0.4448058857507676,0.37786155108989755,19.42,19.52,243166,69585.0,263953.34921822837,75533.56063491778,0.37997601019566685,0.37254901960784315,51.0,B,0
115,Vallentuna,1,2022,34246,0.2766454476435204,0.08246218536471413,0.15178417514221687,0.42897776245474917,0.41923806240303396,18.9,19.0,275100,63094.0,298617.2670929925,68487.66939282177,0.2797163120567376,0.29411764705882354,51.0,B,0
117,Österåker,1,2022,48234,0.26464734419703945,0.09304639880582162,0.151189232376621,0.43973941368078173,0.40907135394259725,16.9,17.35,268255,58694.0,291187.1137187594,63711.52989733225,0.2716701527989506,0.27450980392156865,51.0,B,0
120,Värmdö,1,2022,46232,0.26412441598892544,0.08221578127703755,0.15316217908578586,0.44001252348152786,0.4068252974326863,18.98,19.18,273048,70940.0,296389.84931009606,77004.39450227877,0.37998804626797456,0.37254901960784315,51.0,B,0
123,Järfälla,1,2022,83170,0.2528796441024408,0.08319105446675484,0.171745103873147,0.40434394525438855,0.42391095087246444,18.99,19.15,243938,69498.0,264791.34460243693,75439.12333125697,0.41987890158621866,0.4262295081967213,61.0,B,0
125,Ekerö,1,2022,29096,0.29337365960956835,0.08973742095133351,0.1587764406510099,0.3851985368181095,0.45602502253088056,18.95,19.25,306918,73997.0,333155.2685628756,80322.725965395,0.24709756642107614,0.24390243902439024,41.0,B,0
126,Huddinge,1,2022,113951,0.2688787285763179,0.06492264218830901,0.17269337827830128,0.39342169105441915,0.43388493066727957,19.47,19.87,248594,67825.0,269845.3685776641,73623.10483672198,0.3954203311940417,0.39344262295081966,61.0,B,0
127,Botkyrka,1,2022,95318,0.26427327472250783,0.06517132126146163,0.23821224906115257,0.4255181046872827,0.33626964625156475,20.15,20.15,207305,71676.0,225026.72684373977,77803.31238152429,0.4505356017643352,0.4533333333333333,75.0,BL,0
128,Salem,1,2022,17252,0.28843032691861814,0.09546719220959889,0.17792494481236204,0.420485651214128,0.40158940397350995,19.42,19.67,247007,73120.0,268122.7019005409,79370.75452504403,0.2886820186183244,0.2903225806451613,31.0,B,0
136,Haninge,1,2022,95658,0.25922557444228395,0.07205879278262142,0.1977227571450405,0.4850832951245606,0.3171939477303989,19.68,19.68,227822,69736.0,247297.6482139576,75697.469058513,0.3767362458291301,0.3770491803278688,61.0,BL,0
