school_id,class_id,class_type,class_size,read_score,birth_month
15,263,,25,618,2
15,263,AIDE,25,636,7
15,263,AIDE,25,618,8
15,263,AIDE,25,644,9
15,263,AIDE,25,599,6
15,263,AIDE,25,599,8
15,175,AIDE,27,592,2
15,175,REGULAR,27,599,1
15,37,,16,543,12
15,37,,16,604,1
15,37,SMALL,16,564,7
15,37,SMALL,16,641,9
15,37,SMALL,16,675,11
15,37,SMALL,16,,5
15,37,SMALL,16,626,6
15,37,SMALL,16,602,11
72,187,REGULAR,25,612,4
72,187,REGULAR,25,,10
72,187,AIDE,25,624,12
72,187,REGULAR,25,636,12
72,187,REGULAR,25,600,11
72,187,REGULAR,25,583,12
72,187,REGULAR,25,670,12
72,187,REGULAR,25,614,2
72,187,REGULAR,25,624,3
72,187,REGULAR,25,590,4
72,187,AIDE,25,661,5
72,187,REGULAR,25,670,7
72,187,REGULAR,25,647,8
72,187,SMALL,25,702,9
72,187,REGULAR,25,,3
72,187,AIDE,25,,7
72,187,AIDE,25,654,6
72,218,SMALL,15,,7
72,218,SMALL,15,,11
72,218,SMALL,15,650,2
72,218,SMALL,15,606,3
72,218,SMALL,15,597,3
72,218,SMALL,15,600,3
72,218,SMALL,15,606,3
72,218,SMALL,15,622,6
72,218,SMALL,15,604,7
72,218,SMALL,15,592,8
72,322,AIDE,25,600,10
72,322,AIDE,25,602,12
72,322,AIDE,25,587,11
72,322,AIDE,25,,1
72,322,AIDE,25,578,2
72,322,AIDE,25,670,4
72,322,AIDE,25,624,4
72,322,AIDE,25,612,4
72,322,,25,624,7
72,322,,25,633,6
72,322,AIDE,25,644,8
72,322,AIDE,25,633,8
72,322,AIDE,25,577,8
72,322,AIDE,25,657,8
72,322,AIDE,25,626,9
72,322,AIDE,25,585,1
72,322,AIDE,25,585,1
72,322,AIDE,25,670,10
72,322,AIDE,25,595,4
38,143,,13,618,12
38,143,,13,639,2
38,143,SMALL,13,647,2
38,143,SMALL,13,680,6
38,143,SMALL,13,624,7
38,143,SMALL,13,629,9
38,143,SMALL,13,606,6
38,143,SMALL,13,629,9
38,61,AIDE,20,578,11
38,61,AIDE,20,641,11
38,61,AIDE,20,639,12
38,61,AIDE,20,554,7
38,61,AIDE,20,650,2
38,61,AIDE,20,582,5
38,61,AIDE,20,641,9
38,61,AIDE,20,612,8
38,61,AIDE,20,610,1
38,61,AIDE,20,675,1
38,61,AIDE,20,675,9
38,75,SMALL,13,616,9
38,75,SMALL,13,650,12
38,75,SMALL,13,622,2
38,75,SMALL,13,657,3
38,75,,13,582,3
38,75,,13,650,5
38,75,,13,647,5
38,75,SMALL,13,641,5
38,75,SMALL,13,606,10
38,75,SMALL,13,593,5
38,298,AIDE,20,633,11
38,298,REGULAR,20,629,11
38,298,REGULAR,20,592,1
38,298,REGULAR,20,633,5
38,298,AIDE,20,620,7
38,298,AIDE,20,593,7
38,298,REGULAR,20,618,9
38,298,AIDE,20,636,9
12,192,SMALL,16,686,12
12,192,SMALL,16,,10
12,192,SMALL,16,675,12
12,192,SMALL,16,612,1
12,192,,16,641,8
12,192,,16,624,7
12,195,SMALL,16,602,12
12,195,SMALL,16,639,1
12,195,,16,577,1
12,195,SMALL,16,670,3
12,195,SMALL,16,,4
12,195,SMALL,16,665,7
12,195,SMALL,16,590,9
12,195,SMALL,16,590,1
12,200,REGULAR,24,644,1
12,200,AIDE,24,604,2
12,200,AIDE,24,,3
12,200,REGULAR,24,597,6
12,200,REGULAR,24,578,7
12,252,AIDE,24,575,12
12,252,AIDE,24,641,12
12,252,AIDE,24,570,11
12,252,AIDE,24,600,1
12,252,AIDE,24,569,8
12,252,AIDE,24,675,5
12,252,AIDE,24,629,7
12,252,AIDE,24,618,9
5,198,AIDE,23,608,11
5,198,,23,,10
5,198,AIDE,23,595,12
5,198,AIDE,23,644,1
5,198,AIDE,23,654,2
5,198,AIDE,23,626,2
5,198,AIDE,23,657,4
5,198,AIDE,23,675,5
5,198,AIDE,23,680,8
5,198,AIDE,23,675,6
5,198,,23,622,3
5,48,AIDE,18,665,11
5,48,AIDE,18,602,12
5,48,REGULAR,18,620,1
5,48,AIDE,18,661,8
5,48,AIDE,18,597,9
5,48,REGULAR,18,650,9
5,48,SMALL,18,633,9
5,48,REGULAR,18,647,12
5,64,AIDE,23,620,5
5,64,AIDE,23,661,12
5,64,AIDE,23,631,3
5,64,AIDE,23,657,1
5,64,AIDE,23,670,4
5,64,AIDE,23,650,3
5,164,SMALL,15,670,9
5,164,SMALL,15,713,9
5,164,SMALL,15,639,12
5,164,SMALL,15,654,1
5,164,SMALL,15,629,1
5,164,SMALL,15,702,3
5,164,SMALL,15,686,4
5,164,SMALL,15,641,6
5,164,SMALL,15,593,1
